.,Spanish
quest.name,Cuento de borrachos
quest.description,\n Una mansión en el borde de un acantilado. \n\n Esa fue la propuesta de un conocido borracho del bar frecuentado por los investigadores. \n\n Os pidió que investigaseis el lugar. A pesar de que en su momento os negasteis, su muerte ha hecho que iniciéis una investigación. \n
EventHistorySearchOffice_2_Fail.text,¡Sí! Con toda seguridad has roto la cerradura y ahora no será posible abrir los cajones.
TokenSearchBedRoom_1.button1,{action} Ordenar
SpawnGhost_level1_Fleshless.text,{qst:ADDMON} {c:SpawnGhost_level1_Fleshless}.
SpawnGhost_level1_Spirit.text,{qst:ADDMON} {c:SpawnGhost_level1_Spirit}.
SpawnGhost_level1_Undead.text,{qst:ADDMON} {c:SpawnGhost_level1_Undead}.
SpawnGhost_level2_Fleshless.text,{qst:ADDMON} {c:SpawnGhost_level2_Fleshless}.
SpawnGhost_level2_Spirit.text,{qst:ADDMON} {c:SpawnGhost_level2_Spirit}.
SpawnGhost_level2_Undead.text,{qst:ADDMON} {c:SpawnGhost_level2_Undead}.
SpawnGhost_level3_Fleshless.text,{qst:ADDMON} {c:SpawnGhost_level3_Fleshless}.
SpawnGhost_level3_Spirit.text,{qst:ADDMON} {c:SpawnGhost_level3_Spirit}.
SpawnGhost_level3_Undead.text,{qst:ADDMON} {c:SpawnGhost_level3_Undead}.
SpawnMonster_level1_DeepOne.text,{qst:ADDMON} {c:SpawnMonster_level1_DeepOne}.
SpawnMonster_level1_DeepOneHybrid.text,{qst:ADDMON} {c:SpawnMonster_level1_DeepOneHybrid}.
SpawnMonster_level1_HuntingHorror.text,{qst:ADDMON} {c:SpawnMonster_level1_HuntingHorror}.
SpawnMonster_level2_DeepOne.text,{qst:ADDMON} {c:SpawnMonster_level2_DeepOne}.
SpawnMonster_level2_DeepOneHybrid.text,{qst:ADDMON} {c:SpawnMonster_level2_DeepOneHybrid}.
SpawnMonster_level2_HuntingHorror.text,{qst:ADDMON} {c:SpawnMonster_level2_HuntingHorror}.
SpawnMonster_level3_DeepOne.text,{qst:ADDMON} {c:SpawnMonster_level3_DeepOne}.
SpawnMonster_level3_DeepOneHybrid.text,{qst:ADDMON} {c:SpawnMonster_level3_DeepOneHybrid}.
SpawnMonster_level3_HuntingHorror.text,{qst:ADDMON} {c:SpawnMonster_level3_HuntingHorror}.
EventHistoryRitual2_GainItem.button1,{qst:BACK}
EventHistoryRitualKitchen.button1,{qst:BACK}
EventHistoryRitualBathRoom.button1,{qst:BACK}
EventHistoryRitualBilliards.button1,{qst:BACK}
EventHistoryRitualLivingRoom.button1,{qst:BACK}
EventHistoryRitualYard.button1,{qst:BACK}
EventHistoryRitualOffice.button1,{qst:BACK}
EventHistoryRitualServiceCorridor.button1,{qst:BACK}
EventHistoryRitualLivingCorridor.button1,{qst:BACK}
EventOpenServiceCorridorDoor.button2,{qst:CANCEL}
EventHistoryRitualComponentsInspection.button17,{qst:CANCEL}
EventHistoryPuzzleBox_1stLock.button2,{qst:CANCEL}
EventHistoryPuzzleBox_2sdLock.button2,{qst:CANCEL}
EventHistoryPuzzleBox_GoTo2sdLock.button2,{qst:CANCEL}
EventHistoryGrotesqueStone.button2,{qst:CANCEL}
EventHistoryToTheCaves.button2,{qst:CANCEL}
UIPrologueContinue2.button1,{qst:CONTINUE}
UIPrologueContinue1.button1,{qst:CONTINUE}
EventQuestCluesAndCondition.button1,{qst:CONTINUE}
EventExploreExitHall_1_Rnd_Str.button1,{qst:CONTINUE}
UIPrologueEndBtn.button1,{qst:CONTINUE}
EventBoardAddTileHall.button1,{qst:CONTINUE}
EventBoardAddSearchHall_1.button1,{qst:CONTINUE}
EventBoardAddSearchHall_2.button1,{qst:CONTINUE}
EventBoardAddSearchHall_3.button1,{qst:CONTINUE}
EventBoardAddExploreHall.button1,{qst:CONTINUE}
EventBoardAddInvestigatorsDarknessHall.button1,{qst:CONTINUE}
EventBoardAddTileServiceCorridor.button1,{qst:CONTINUE}
EventExploreExitHall_1_Str_1.button1,{qst:CONTINUE}
EventExploreExitHall_1_Str_2.button1,{qst:CONTINUE}
EventExploreExitHall_1_Str_2.button2,{qst:CONTINUE}
EventExploreExitHall_1_Str_Fail.button1,{qst:CONTINUE}
EventExploreExitHall_1_Str_1.button2,{qst:CONTINUE}
EventQuestDarkness.button1,{qst:CONTINUE}
EventQuestEnter.button1,{qst:CONTINUE}
EventBoardAddSearchServiceCorridor_1.button1,{qst:CONTINUE}
EventBoardAddExploreServiceCorridor_1.button1,{qst:CONTINUE}
EventBoardAddExploreServiceCorridor_2.button1,{qst:CONTINUE}
EventBoardAddDarknessServiceCorridor.button1,{qst:CONTINUE}
EventBoardAddTileKitchen.button1,{qst:CONTINUE}
EventBoardAddSearchYard_2.button1,{qst:CONTINUE}
EventBoardAddSearchKitchen_1.button1,{qst:CONTINUE}
EventBoardAddSearchAndBarricade.button1,{qst:CONTINUE}
EventBoardAddInteractionKitchen.button1,{qst:CONTINUE}
